Full Name,Last Name,First Name,Sholar link,Citations,h-index,i10-index,t10-index,University,"Rank (Full, Associate, Assistant, Other)",UniversityID,
Nathaniel J. Davis,Davis,Nathaniel J.,NA,NaN,NaN,NaN,21,Air Force Institute of Technology  ,Full,1,
"Hopkinson, Kenneth M",Hopkinson,Kenneth M,NA,NaN,NaN,NaN,16,Air Force Institute of Technology  ,Full,1,
"Peterson, Gilbert L",Peterson,Gilbert L,NA,NaN,NaN,NaN,NaN,Air Force Institute of Technology  ,Full,1,
Maj Joan A Betances Phd,Betances,Joan A,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
"Bindewald, Jason M",Bindewald,Jason M,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
"Borghetti, Brett J",Borghetti,Brett J,https://scholar.google.com/citations?user=Z6vGQasAAAAJ&hl=en&oi=ao,151,6,5,4,Air Force Institute of Technology  ,Assistant,1,
Maj Alan C. Lin Phd,Lin,Alan C.,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
PhD Laurence D Merkle,Merkle,Laurence D,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
"Nykl, Scott L",Nykl,Scott L,https://scholar.google.com/citations?user=R06F8XQAAAAJ&hl=en&oi=ao,50,4,1,1,Air Force Institute of Technology  ,Assistant,1,
Maj John M. Pecarina Phd,Pecarina,John M.,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
"Reith, Mark G",Reith,Mark G,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
LTC Mason J Rice,Rice,Mason J,NA,NaN,NaN,NaN,0,Air Force Institute of Technology  ,Assistant,1,
Gail-Joon Ahn,Ahn,Gail-Joon,https://scholar.google.com/citations?user=_dzO69sAAAAJ&hl=en,6983,41,104,146,Arizona State University  ,Full,2,
Chitta Baral,Baral,Chitta,https://scholar.google.com/citations?user=9Yd716IAAAAJ&hl=en,6682,36,88,135,Arizona State University  ,Full,2,
Selcuk K. Candan,Candan,Selcuk,https://scholar.google.com/citations?user=keO-0s0AAAAJ&hl=en&oi=ao,5167,35,100,113,Arizona State University  ,Full,2,
Charles Colbourn,Colbourn,Charles,NA,NaN,NaN,NaN,178,Arizona State University  ,Full,2,
James Collofello,Collofello,James,NA,NaN,NaN,NaN,40,Arizona State University  ,Full,2,
Sandeep Gupta,Gupta,Sandeep,https://scholar.google.com/citations?user=U9bcQkMAAAAJ&hl=en&oi=ao,7907,49,126,154,Arizona State University  ,Full,2,
Subbarao Kambhampati,Kambhampati,Subbarao,https://scholar.google.com/citations?user=yl3L07sAAAAJ&hl=en&oi=ao,7580,45,150,140,Arizona State University  ,Full,2,
Yann-Hang Lee,Lee,Yann-Hang,NA,NaN,NaN,NaN,65,Arizona State University  ,Full,2,
Baoxin Li,Li,Baoxin,https://scholar.google.com/citations?user=8OOBH04AAAAJ&hl=en,9938,38,216,63,Arizona State University  ,Full,2,
Timothy Lindquist,Lindquist,Timothy,https://scholar.google.com/citations?user=26h2MnAAAAAJ&hl=en,220,8,6,6,Arizona State University  ,Full,2,
Huan Liu,Liu,Huan,https://scholar.google.com/citations?user=Dzf46C8AAAAJ&hl=en&oi=ao,29625,75,248,645,Arizona State University  ,Full,2,
Sethuraman Panchanathan,Panchanathan,Sethuraman,https://scholar.google.com/citations?user=GKTKZ8kAAAAJ&hl=en&oi=ao,5448,36,110,99,Arizona State University  ,Full,2,
George Runger,Runger,George,NA,NaN,NaN,NaN,161,Arizona State University  ,Full,2,
Arunabha Sen,Sen,Arunabha,NA,NaN,NaN,NaN,60,Arizona State University  ,Full,2,
Kurt VanLehn,VanLehn,Kurt,https://scholar.google.com/citations?user=hjYT3JYAAAAJ&hl=en&oi=ao,15210,57,157,373,Arizona State University  ,Full,2,
Teresa Wu,Wu,Teresa,https://scholar.google.hk/citations?user=XJvLrVAAAAAJ&hl=zh-CN,2765,27,60,74,Arizona State University  ,Full,2,
Guoliang Xue,Xue,Guoliang,https://scholar.google.com/citations?user=9gBvN78AAAAJ&hl=en,9547,47,149,174,Arizona State University  ,Full,2,
Sik-Sang Yau,Yau,Sik-Sang,NA,NaN,NaN,NaN,12,Arizona State University  ,Full,2,
Nong Ye,Ye,Nong,NA,NaN,NaN,NaN,149,Arizona State University  ,Full,2,
Robert Atkinson,Atkinson,Robert,https://scholar.google.com/citations?user=UzNoXwMAAAAJ&hl=en,3866,24,32,87,Arizona State University  ,Associate,2,
Rida Bazzi,Bazzi,Rida,https://scholar.google.com/citations?user=FrMOlk8AAAAJ&hl=en,891,16,23,28,Arizona State University  ,Associate,2,
Partha Dasgupta,Dasgupta,Partha,NA,NaN,NaN,NaN,53,Arizona State University  ,Associate,2,
Hasan Davulcu,Davulcu,Hasan,https://scholar.google.com/citations?user=P9IivpwAAAAJ&hl=en,1439,19,29,34,Arizona State University  ,Associate,2,
Georgios Fainekos,Fainekos,Georgios,https://scholar.google.com/citations?user=WGRYgBEAAAAJ&hl=en,2133,23,34,82,Arizona State University  ,Associate,2,
Kevin Gary,Gary,Kevin,https://scholar.google.com/citations?user=oXX9SUQAAAAJ&hl=en,515,11,13,14,Arizona State University  ,Associate,2,
Dijiang Huang,Huang,Dijiang,https://scholar.google.com/citations?user=Y_Bm7IwAAAAJ&hl=en,2929,30,62,62,Arizona State University  ,Associate,2,
Joohyung Lee,Lee,Joohyung,https://scholar.google.com/citations?user=WeqC_-MAAAAJ&hl=en,1836,22,37,46,Arizona State University  ,Associate,2,
Jing Li,Li,Jing,NA,NaN,NaN,NaN,NaN,Arizona State University  ,Associate,2,
Brian Nelson,Nelson,Brian,https://scholar.google.com/citations?user=R0PhbAYAAAAJ&hl=en,1812,21,31,75,Arizona State University  ,Associate,2,
Andrea Richa,Richa,Andrea,https://scholar.google.com/citations?user=1LUuMc8AAAAJ&hl=en,3043,25,41,51,Arizona State University  ,Associate,2,
Hessam Sarjoughian,Sarjoughian,Hessam,https://scholar.google.com/citations?user=2gggOEIAAAAJ&hl=en,2252,27,72,49,Arizona State University  ,Associate,2,
Aviral Shrivastava,Shrivastava,Aviral,https://scholar.google.com/citations?user=zlzK-v0AAAAJ&hl=en,1460,21,49,34,Arizona State University  ,Associate,2,
Violet Syrotiuk,Syrotiuk,Violet,NA,NaN,NaN,NaN,41,Arizona State University  ,Associate,2,
Peter Wonka,Wonka,Peter,https://scholar.google.com/citations?user=0EKXSXgAAAAJ&hl=en,5623,33,68,160,Arizona State University  ,Associate,2,
Ming Zhao,Zhao,Ming,https://scholar.google.com/citations?user=pAcF2lEAAAAJ,1560,18,27,51,Arizona State University  ,Associate,2,
Ashish Amresh,Amresh,Ashish,https://scholar.google.com/citations?user=jcwyv0wAAAAJ&hl=en,159,4,3,2,Arizona State University  ,Assistant,2,
Srividya Bansal,Bansal,Srividya,https://scholar.google.com/citations?user=JoAxSpgAAAAJ&hl=en,489,11,11,14,Arizona State University  ,Assistant,2,
Heni Ben Amor,Ben Amor,Heni,https://scholar.google.com/citations?user=u_7S7VYAAAAJ&hl=en,566,14,19,19,Arizona State University  ,Assistant,2,
Adam DoupÌ©,DoupÌ©,Adam,https://scholar.google.com/citations?user=hsJqhNAAAAAJ,345,7,6,4,Arizona State University  ,Assistant,2,
John Femiani,Femiani,John,https://scholar.google.com/citations?user=rS1xJIIAAAAJ&hl=en,560,8,8,8,Arizona State University  ,Assistant,2,
Ashraf Gaffar,Gaffar,Ashraf,NA,NaN,NaN,NaN,6,Arizona State University  ,Assistant,2,
Arbi Ghazarian,Ghazarian,Arbi,NA,NaN,NaN,NaN,2,Arizona State University  ,Assistant,2,
Javier Gonzalez-Sanchez,Gonzalez-Sanchez,Javier,https://scholar.google.com/citations?user=mSoiXbIAAAAJ&hl=en,128,7,6,4,Arizona State University  ,Assistant,2,
Jingrui He,He,Jingrui,https://scholar.google.com/citations?user=hXpZynkAAAAJ&hl=en,3108,17,27,44,Arizona State University  ,Assistant,2,
Sharon Hsiao,Hsiao,Sharon,https://scholar.google.com/citations?user=rcjc5I4AAAAJ&hl=en,372,11,12,14,Arizona State University  ,Assistant,2,
Ross Maciejewski,Maciejewski,Ross,https://scholar.google.com/citations?user=nChgOjEAAAAJ&hl=en,1035,19,31,33,Arizona State University  ,Assistant,2,
Paolo Papotti,Papotti,Paolo,https://scholar.google.com/citations?user=YwoezYX7JVgJ&hl=en,997,19,28,31,Arizona State University  ,Assistant,2,
Ted Pavlic,Pavlic,Ted,https://scholar.google.com/citations?user=UAmGg-cAAAAJ,118,8,4,6,Arizona State University  ,Assistant,2,
Fengbo Ren,Ren,Fengbo,https://scholar.google.com/citations?user=f-wp99AAAAAJ&hl=en,234,9,7,6,Arizona State University  ,Assistant,2,
Mohamed Sarwat,Sarwat,Mohamed,https://scholar.google.com/citations?user=wLkWxZUAAAAJ&hl=en,499,11,11,13,Arizona State University  ,Assistant,2,
Jorge Sefair,Sefair,Jorge,https://scholar.google.com/citations?user=hQtEfQcAAAAJ&hl=en,295,6,5,1,Arizona State University  ,Assistant,2,
Paulo Shakarian,Shakarian,Paulo,https://scholar.google.com/citations?user=OUAMn6oAAAAJ&hl=en,516,13,18,16,Arizona State University  ,Assistant,2,
Sohum Sohoni,Sohoni,Sohum,https://scholar.google.com/citations?user=x851M9sAAAAJ&hl=en,216,8,5,7,Arizona State University  ,Assistant,2,
Hanghang Tong,Tong,Hanghang,https://scholar.google.com/citations?user=RaINcuUAAAAJ&hl=en,4425,34,57,98,Arizona State University  ,Assistant,2,
Erin Walker,Walker,Erin,https://scholar.google.com/citations?user=5P7Vo2IAAAAJ&hl=en,528,14,18,18,Arizona State University  ,Assistant,2,
Yalin Wang,Wang,Yalin,https://scholar.google.com/citations?user=F4tTgLQAAAAJ&hl=en,3122,27,62,56,Arizona State University  ,Assistant,2,
Carole-Jean Wu,Wu,Carole-Jean,https://scholar.google.com/citations?user=S1szbyAAAAAJ&hl=en,418,11,11,15,Arizona State University  ,Assistant,2,
Yezhou Yang,Yang,Yezhou,https://scholar.google.com/citations?user=k2suuZgAAAAJ&hl=en,372,11,11,13,Arizona State University  ,Assistant,2,
