"","University.Name","CS.Score","CS.rank","Web","University.Rank","University.Score","ID","Department","College","Affiliated","Comments.about.inclusion","total_citations"
"1","Air Force Institute of Technology",0,0,"https://www.afit.edu/ENG/",0,0,1,"ECE","Engineering & management","No","have ee, ce, cs people lists; we included only cs",201
"2","Arizona State University",3,48,"http://cidse.engineering.asu.edu/",129,42,2,"School of Computing","Own","No","we did not include industrial engineering, we did not included a few CE faculty; this list did not include ECE department which is in different college",155111
"3","Auburn University",2.2,90,"https://www.eng.auburn.edu/comp/index.html",99,48,3,"CS & Software Engineering","Engineering","No","",25132
"4","Binghamton University SUNY",2,112,"https://www.binghamton.edu/cs/",86,51,4,"CS","?","No","",47904
"5","Boston University",3,48,"http://www.bu.edu/cs/",39,64,5,"CS","?","Outside the primary list","affiliated not included",157537
"6","Brandeis University",2.3,82,"http://www.brandeis.edu/departments/computer-science/",34,67,6,"CS","CS","No","",28212
"7","Brigham Young University",2.2,90,"https://cs.byu.edu/",68,57,7,"CS","?","No","",61168
"8","Brown University",3.7,20,"https://cs.brown.edu/",14,87,8,"CS","No","Within the primary faculty list, clearly annotated","affiliated included",164863
"9","California Institute of Technology",4.2,11,"http://www.cms.caltech.edu/",12,89,10,"CS+Math","Engineering and Applied Sci","Outside + Within, clearly annotated","have joint CS+Math, we excluded a few obvious non-CS from the list;  affiliated not included",150177
"10","Carnegie Mellon University",5,1,"https://www.scs.cmu.edu/",24,75,11,"School of CS","Own","Within, clearly annotated ","affiliated included",1245401
"11","Case Western Reserve University",2.4,70,"http://engineering.case.edu/eecs/",37,65,12,"EECS","Engineering","Outside","affiliated not included; EECS has separate CS and ECE lists, we studied the ECE list and included some of them",30317
"12","Claremont Graduate University",0,0,"https://www.cgu.edu/school/center-for-information-systems-and-technology/",0,0,13,"Info System & Tech","?","No","",8632
"13","Clemson University",2.3,82,"http://www.clemson.edu/cecas/departments/computing/",66,58,14,"CS","School of Computing","Outside","affiliated not included",53783
"14","College of William and Mary",2.4,70,"http://www.wm.edu/as/computerscience/",32,68,15,"CS","Science","Within","affiliated included",27893
"15","Colorado School of Mines",2.1,101,"http://cs.mines.edu/",82,52,16,"CS","EECS","No","",19585
"16","Colorado State University",2.4,70,"https://www.cs.colostate.edu/cstop/",129,42,17,"CS","Natural Sciences","Outside + Within, clearly annotated","they have 3 joint appointments in the primary list -- we included them; they have 4 ""joint faculty"" outside the primary list -- we did not include them",101877
"17","Columbia University",4,15,"http://www.cs.columbia.edu/",5,95,18,"CS","Engineering","Outside + Within, clearly annotated","we included joint appointments from the primary list;  we did not include 8 affiliated outside the primary list",758337
"18","Cornell University",4.5,6,"https://www.cs.cornell.edu/",15,85,19,"CS","CIS - CS, Information Sci, Statistical Sci","Within, clearly annotated","affiliated included",689389
"19","CUNY Graduate School and University Center",2.3,82,"http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science",0,0,9,"CS","?","No","",252824
"20","Dartmouth College",3.1,40,"http://web.cs.dartmouth.edu/",11,90,20,"CS","No","Outside","affiliated not included",122111
"21","DePaul University",0,0,"http://www.cdm.depaul.edu/about/Pages/School-of-Computing.aspx",124,43,21,"Computing","School of Computing","No","",53919
"22","Drexel University",2.2,90,"http://drexel.edu/cci/academics/departments/computer-science/",96,49,22,"CS","Computing & Informatics","No","",47282
"23","Duke University",3.6,25,"http://www.cs.duke.edu/",8,92,23,"CS","No","Within, clearly annotated","affiliated included",335356
"24","Florida Atlantic University",0,0,"http://www.ceecs.fau.edu/",0,0,24,"CEECS","ECS","No","This is a big ee+ce+cs department; we manually excluded non-CS people",57368
"25","Florida Institute of Technology",0,0,"https://cs.fit.edu/",171,33,25,"CS","?","No","",17575
"26","Florida International University",0,0,"https://www.cis.fiu.edu/",0,0,26,"CIS","?","No","",46553
"27","Florida State University",2.3,82,"http://www.cs.fsu.edu/",92,50,27,"CS","Science","No","",54415
"28","George Mason University",2.5,67,"http://cs.gmu.edu/",143,39,28,"CS","Engineering","Outside","affiliated not included",139011
"29","George Washington University",2.3,82,"https://www.cs.seas.gwu.edu/",56,60,29,"CS","Engineering & Applied Science","No","",17407
"30","Georgia Institute of Technology",4.3,9,"https://www.cc.gatech.edu/",34,67,30,"College of Computing","Own","Outside","included all from college of computing (3 departments including soft and CE); did not include adjunct faculty, most of them are from ECE department",655281
"31","Georgia State University",2,112,"http://shared.cas.gsu.edu/department/computer-science/",0,0,31,"CS","Science","Outside","affiliated not included",40642
"32","Harvard University",3.9,18,"https://www.seas.harvard.edu/computer-science",2,98,32,"CS","Engineering and Applied Sci","Within, clearly annotated","affiliated included",203865
"33","Illinois Institute of Technology",2.1,101,"https://science.iit.edu/computer-science",103,47,33,"CS","Science","No","",45747
"34","Indiana State University",0,0,"http://www.indstate.edu/cas/mathcs/",0,0,34,"CS & Maths","Arts&Sciences","No","",612
"35","Indiana University Bloomington",2.9,52,"https://www.cs.indiana.edu/",86,51,35,"CS","School of Informatics & Computing","Within, clearly annotated","only included CS people, did not include faculty from Intelligent System Engineering, Informatics, and Information and Library Science",157815
"36","Iowa State University",2.6,63,"http://www.cs.iastate.edu/",111,45,36,"CS","?","Outside","affiliated not included",79387
"37","Johns Hopkins University",3.5,28,"https://www.cs.jhu.edu/",10,91,37,"CS","Engineering","Outside + Within, NOT clearly annotated","affilliated outside of the primary list not included",366874
"38","Kansas State University",2.2,90,"https://www.cs.ksu.edu/",135,40,38,"CS","?","No","",20818
"39","Kent State University",0,0,"http://www.kent.edu/cs",188,30,39,"CS","?","No","",15504
"40","Lehigh University",2.1,101,"http://www.cse.lehigh.edu/",44,63,41,"CSE","Engineering","No","CSE department with a single faculty list, all of them are CS-related, included all of them",49769
"41","LIU Post",0,0,"http://liu.edu/CWPost/Academics/School-of-Computer-Science-Innovation-and-Management-Engineering/Academic-Programs/Computer-Science",114,45,40,"CS","CSE","","",0
"42","Louisiana State University Baton Rouge",2.1,101,"http://www.lsu.edu/eng/cse/",135,40,42,"CSE","EECS","No","CSE department with a single faculty list, all of them are CS-related, included all of them",26855
"43","Louisiana Tech University",0,0,"http://coes.latech.edu/cs/index.php/en/",202,27,43,"CS","?","No","",0
"44","Massachusetts Institute of Technology",5,1,"https://www.eecs.mit.edu/",7,94,44,"EECS","Engineering","Within, clearly annotated","affiliated included; EECS department with clearly annotated CS people, CS people included",1100435
"45","Michigan State University",2.8,56,"http://www.cse.msu.edu/",82,52,45,"CSE","Engineering","Outside","affiliated not included; CSE department with a single faculty list, all of them are CS-related, included all of them",270938
"46","Michigan Technological University",0,0,"http://www.mtu.edu/cs/",118,44,46,"CS","?","Within","affiliated included",8633
"47","Mississippi State University",0,0,"http://www.cse.msstate.edu/",176,32,47,"CSE","?","No","",6707
"48","Missouri University of Science & Technology",2,112,"http://cs.mst.edu/",164,35,48,"CS","?","Outside","affiliated not included",38699
"49","Montana State University",0,0,"https://www.cs.montana.edu/",210,26,49,"CS","Engineering","No","",8365
"50","Naval Postgraduate School",2.4,70,"http://my.nps.edu/web/cs",0,0,50,"CS","?","No","",29517
"51","New Jersey Institute of Technology",2.2,90,"https://cs.njit.edu/",135,40,51,"CS","Computing","No","",76757
"52","New Mexico Institute of Mining and Technology",0,0,"https://www.cs.nmt.edu/",27,54,52,"CS","?","No","",2183
"53","New Mexico State University",0,0,"https://www.cs.nmsu.edu/wp/",220,24,53,"CS","?","No","",17647
"54","New York University",3.4,29,"https://www.cs.nyu.edu/home/index.html",36,66,54,"CS","Courant Institute of Math Sciences and Tandon","Outside","affiliated not included; our data joined NYU CS and NYU Tandon",411851
"55","North Carolina State University",3,48,"https://www.csc.ncsu.edu/",92,50,56,"CS","Engineering","No","there is a large ECE department (#34) that is not included",131199
"56","North Dakota State University",0,0,"https://www.ndsu.edu/cs/",188,30,57,"CS","?","No","",1427
"57","Northeastern University",2.7,60,"http://www.ccis.northeastern.edu/",39,64,58,"College of CIS","Own","Outside + Within, clearly annotated","affiliated outside of the primary list not included",382775
"58","Northwestern University",3.3,34,"http://www.mccormick.northwestern.edu/eecs/computer-science/",12,89,59,"EECS","Engineering","No","we count only faculty listed as CS division faculty",118615
"59","Nova Southeastern University",0,0,"http://cec.nova.edu/",214,25,60,"CEC","Engineering & Computing","No","",27867
"60","Oakland University",0,0,"https://wwwp.oakland.edu/secs/departments/computer-science-and-engineering/",0,0,61,"CSE","Engineering & CS","No","",11061
"61","Ohio State University",3.3,34,"https://cse.osu.edu/",54,61,62,"CSE","Engineering","Outside + Within, clearly annotated","affiliated outside the primary list not included; CSE department with a single faculty list, all of them are CS-related, included all of them",154832
"62","Oklahoma State University",0,0,"http://cs.okstate.edu/",152,37,63,"CS","?","No","",3845
"63","Old Dominion University",0,0,"https://www.odu.edu/compsci",210,26,64,"CS","Science","No","",24854
"64","Oregon Health and Science University",2.2,90,"http://www.ohsu.edu/xd/education/schools/school-of-medicine/departments/basic-science-departments/csee/",0,0,65,"CSEE","Medicine","No","CSEE department with a single faculty list, all of them are CS-related, included all of them",8693
"65","Oregon State University",2.5,67,"http://eecs.oregonstate.edu/",143,39,66,"EECS","Engineering","Outside","affiliated not included; EECS department with a single faculty list, we manually removed EE faculty",43983
"66","Pennsylvania State University University Park",3.4,29,"http://www.eecs.psu.edu/",50,62,67,"EECS","Engineering","Within, clearly annotated","EECS department, included all people listed as CSE faculty, removed a few EE faculty",203469
